trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.02, 'e': 0.9801986733067553}",20,0,-27.98662260472828,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
2,False,"{'a': 0.02, 'e': 0.9607894391523232}",25,0,-155.26395386616508,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
3,False,"{'a': 0.02, 'e': 0.9417645335842487}",25,3,-58.835725833042645,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 0}",1
4,False,"{'a': 0.02, 'e': 0.9231163463866358}",20,0,-2.8576052567423833,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.02, 'e': 0.9048374180359595}",25,18,-5.822991146625425,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.02, 'e': 0.8869204367171575}",30,6,-48.299298506621305,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 0}",1
7,False,"{'a': 0.02, 'e': 0.8693582353988059}",30,0,-111.78217279535725,"{0: 19, 1: 1, 2: 9, 3: 0, 4: 1}",0
8,False,"{'a': 0.02, 'e': 0.8521437889662113}",20,0,-93.47995933621563,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.02, 'e': 0.835270211411272}",20,0,-111.02144191773496,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
10,False,"{'a': 0.02, 'e': 0.8187307530779818}",25,0,-117.54770672362582,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
11,False,"{'a': 0.02, 'e': 0.8025187979624785}",30,15,-8.279682479928915,"{0: 12, 1: 2, 2: 0, 3: 1, 4: 0}",1
12,False,"{'a': 0.02, 'e': 0.7866278610665535}",25,0,-84.07073193968155,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.02, 'e': 0.7710515858035663}",25,0,-76.54286113106872,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
14,False,"{'a': 0.02, 'e': 0.7557837414557255}",20,0,-144.0890198786446,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
15,False,"{'a': 0.02, 'e': 0.7408182206817179}",20,0,-44.87321962803849,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.02, 'e': 0.7261490370736909}",20,0,-107.38812504966553,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
17,False,"{'a': 0.02, 'e': 0.7117703227626097}",25,0,-161.69822782141284,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 3}",0
18,False,"{'a': 0.02, 'e': 0.697676326071031}",20,0,-60.40173392644759,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
