trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-141.38932754707182,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.7178798627707,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.50021882722422,"{0: 7, 1: 4, 2: 7, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.67404349695009,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,10,-58.88534382460502,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-178.31918020728838,"{0: 12, 1: 1, 2: 9, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.90940516922436,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-97.91325109415476,"{0: 15, 1: 3, 2: 4, 3: 3, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-29.661366625493283,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.49929704907451,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-105.56343650056681,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-262.33124971134697,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 6}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.54605479985842,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.72998905790442,"{0: 13, 1: 3, 2: 5, 3: 3, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.3411380830139,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.76257141858792,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.0748355151057,"{0: 9, 1: 2, 2: 5, 3: 3, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,6,-156.9430312589053,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 2}",1
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-219.02427472335887,"{0: 11, 1: 1, 2: 9, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.58326101729709,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-104.7170738504972,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-136.00495390023653,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-173.73736791764665,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-79.67607939009227,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",35,0,-163.11399798454997,"{0: 18, 1: 3, 2: 13, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-169.37725635190716,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-152.6218821343697,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-121.00860433799845,"{0: 18, 1: 1, 2: 10, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-93.10944716925837,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-150.8809348481171,"{0: 10, 1: 6, 2: 1, 3: 0, 4: 3}",0
